team_long_name,away_goals
FC Barcelona,354
Real Madrid CF,338
Celtic,306
Ajax,287
PSV,282
FC Basel,275
FC Bayern Munich,271
Arsenal,267
Borussia Dortmund,253
Chelsea,250
SL Benfica,247
FC Porto,246
Manchester United,244
Manchester City,241
Liverpool,237
Juventus,236
Paris Saint-Germain,236
Roma,231
FC Zürich,227
Tottenham Hotspur,226
Milan,225
FC Twente,220
Inter,216
AZ,213
Bayer 04 Leverkusen,213
Napoli,211
BSC Young Boys,210
Olympique Lyonnais,208
Olympique de Marseille,208
Dundee United,206
Atlético Madrid,203
SC Heerenveen,203
Feyenoord,198
VfB Stuttgart,196
Grasshopper Club Zürich,195
Fiorentina,194
SV Werder Bremen,193
Sevilla FC,193
VfL Wolfsburg,189
Vitesse,189
Sporting CP,187
Club Brugge KV,186
Valencia CF,185
FC Luzern,182
Everton,181
LOSC Lille,180
RSC Anderlecht,180
Aberdeen,179
Udinese,179
Lazio,178
TSG 1899 Hoffenheim,178
KAA Gent,177
Girondins de Bordeaux,176
Motherwell,175
FC Schalke 04,174
Legia Warszawa,169
Heracles Almelo,168
Inverness Caledonian Thistle,168
Hamburger SV,166
Athletic Club de Bilbao,165
FC Groningen,165
FC Lorient,164
Wisła Kraków,164
FC Utrecht,163
ADO Den Haag,162
Stade Rennais FC,162
Borussia Mönchengladbach,161
SC Braga,159
Kilmarnock,158
Lech Poznań,157
Aston Villa,156
Málaga CF,155
FC Sion,151
Montpellier Hérault SC,151
Roda JC Kerkrade,151
1. FSV Mainz 05,149
Sunderland,149
AS Saint-Étienne,148
Rangers,147
Villarreal CF,146
CD Nacional,145
CS Marítimo,145
Toulouse FC,145
OGC Nice,144
Vitória Guimarães,144
Genoa,143
Getafe CF,143
KRC Genk,143
Standard de Liège,142
Śląsk Wrocław,142
Chievo Verona,141
Hannover 96,141
St. Johnstone FC,141
N.E.C.,136
AS Monaco,134
RCD Espanyol,133
Ruch Chorzów,132
West Ham United,131
Real Sociedad,130
SV Zulte-Waregem,130
Sporting Lokeren,130
Polonia Bytom,129
Cagliari,128
Heart of Midlothian,128
Sampdoria,128
West Bromwich Albion,128
FC Paços de Ferreira,126
Palermo,126
Newcastle United,125
Lechia Gdańsk,124
NAC Breda,124
FC St. Gallen,123
Hibernian,123
KV Mechelen,123
Parma,121
Eintracht Frankfurt,120
St. Mirren,120
Hertha BSC Berlin,119
Stoke City,118
Rio Ave FC,117
Torino,116
Atalanta,113
SC Freiburg,112
Jagiellonia Białystok,111
SM Caen,111
1. FC Köln,110
Real Betis Balompié,109
Bologna,108
Rayo Vallecano,108
Académica de Coimbra,104
FC Thun,104
KV Kortrijk,104
Vitória Setúbal,103
FC Sochaux-Montbéliard,102
AS Nancy-Lorraine,100
Swansea City,98
RC Deportivo de La Coruña,97
Catania,96
Levante UD,96
CA Osasuna,95
Ross County FC,95
KSV Cercle Brugge,94
Valenciennes FC,94
Wigan Athletic,94
KVC Westerlo,93
Fulham,92
Cracovia,91
