team_long_name,home_goals
Real Madrid CF,505
FC Barcelona,495
Celtic,389
FC Bayern Munich,382
PSV,370
Manchester City,365
Ajax,360
FC Basel,344
Manchester United,338
Chelsea,333
Paris Saint-Germain,332
Atlético Madrid,321
SL Benfica,321
BSC Young Boys,319
Juventus,307
Arsenal,306
Napoli,303
Roma,299
Valencia CF,299
Borussia Dortmund,298
FC Porto,295
Liverpool,294
Feyenoord,291
FC Twente,289
Olympique Lyonnais,289
Sevilla FC,285
Inter,280
AZ,279
VfL Wolfsburg,274
Milan,271
Bayer 04 Leverkusen,270
LOSC Lille,270
SC Heerenveen,267
Everton,258
Tottenham Hotspur,255
Olympique de Marseille,254
FC Schalke 04,252
Athletic Club de Bilbao,250
Genoa,249
RSC Anderlecht,247
Fiorentina,246
FC Utrecht,245
Borussia Mönchengladbach,242
FC Zürich,241
Legia Warszawa,240
FC Luzern,239
Lazio,239
SC Braga,239
Udinese,236
Club Brugge KV,235
Heracles Almelo,235
Grasshopper Club Zürich,234
Vitesse,234
Dundee United,232
SV Werder Bremen,230
Girondins de Bordeaux,228
Motherwell,228
FC Groningen,225
Palermo,225
Sporting CP,224
AS Saint-Étienne,223
Málaga CF,222
TSG 1899 Hoffenheim,222
FC Sion,220
VfB Stuttgart,219
Hannover 96,218
Villarreal CF,218
Lech Poznań,215
FC Lorient,214
KAA Gent,213
KRC Genk,205
RCD Espanyol,205
Stade Rennais FC,205
ADO Den Haag,204
Polonia Bytom,204
Stoke City,204
Getafe CF,202
Newcastle United,199
Standard de Liège,199
OGC Nice,198
West Ham United,195
Toulouse FC,194
Montpellier Hérault SC,193
Roda JC Kerkrade,192
Sampdoria,190
Heart of Midlothian,189
Kilmarnock,188
CD Nacional,187
Aberdeen,186
Real Sociedad,186
Sunderland,184
Cagliari,181
Aston Villa,179
Hamburger SV,178
Inverness Caledonian Thistle,177
Rangers,177
West Bromwich Albion,177
Eintracht Frankfurt,176
Jagiellonia Białystok,176
SV Zulte-Waregem,176
Śląsk Wrocław,176
FC Thun,175
N.E.C.,174
Fulham,173
1. FSV Mainz 05,171
CS Marítimo,171
Atalanta,170
NAC Breda,170
Wisła Kraków,168
St. Johnstone FC,167
FC Paços de Ferreira,166
KV Kortrijk,163
KV Mechelen,162
Valenciennes FC,162
Vitória Guimarães,156
Bologna,155
Catania,155
Lechia Gdańsk,155
AS Monaco,153
FC St. Gallen,153
Parma,151
Korona Kielce,149
Sporting Lokeren,149
Ruch Chorzów,148
RCD Mallorca,147
Levante UD,145
Chievo Verona,144
Cracovia,144
FC Sochaux-Montbéliard,144
RC Deportivo de La Coruña,144
Willem II,140
Rayo Vallecano,139
CA Osasuna,137
St. Mirren,137
Académica de Coimbra,136
Hibernian,136
Swansea City,135
Vitória Setúbal,135
Southampton,134
SC Freiburg,133
