id,team_api_id,team_fifa_api_id,team_long_name,team_short_name,id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
49119,9930,434,FC Aarau,AAR,1,434,9930,2010-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Organised,60,Normal,65,Normal,55,Normal,Organised,50,Medium,55,Press,45,Normal,Cover
39393,8485,77,Aberdeen,ABE,4,77,8485,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,60,Medium,70,Double,70,Wide,Cover
11817,8576,614,AC Ajaccio,AJA,10,614,8576,2010-02-22 00:00:00,60,Balanced,,Little,40,Mixed,Organised,45,Normal,35,Normal,55,Normal,Organised,30,Deep,70,Double,30,Narrow,Offside Trap
20523,8564,47,Milan,ACM,16,47,8564,2010-02-22 00:00:00,45,Balanced,,Little,30,Short,Free Form,55,Normal,45,Normal,70,Lots,Free Form,30,Deep,35,Press,60,Normal,Offside Trap
35292,10215,1901,Académica de Coimbra,ACA,22,1901,10215,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,50,Normal,60,Normal,55,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap
26560,10217,650,ADO Den Haag,HAA,28,650,10217,2010-02-22 00:00:00,30,Slow,,Little,35,Mixed,Organised,30,Safe,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover
26552,8593,245,Ajax,AJA,34,245,8593,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,50,Normal,60,Normal,70,Lots,Organised,30,Deep,30,Contain,30,Narrow,Cover
43052,9865,1861,UD Almería,ALM,40,1861,9865,2010-02-22 00:00:00,65,Balanced,,Little,45,Mixed,Organised,45,Normal,45,Normal,70,Lots,Organised,70,High,65,Press,30,Narrow,Cover
6,8635,229,RSC Anderlecht,AND,46,229,8635,2010-02-22 00:00:00,50,Balanced,,Little,35,Mixed,Organised,70,Risky,50,Normal,60,Normal,Organised,70,High,50,Press,70,Wide,Cover
14868,8121,1530,Angers SCO,ANG,52,1530,8121,2010-02-22 00:00:00,45,Balanced,,Little,35,Mixed,Organised,35,Normal,50,Normal,60,Normal,Organised,30,Deep,55,Press,30,Narrow,Offside Trap
31455,8322,111082,Arka Gdynia,ARK,58,111082,8322,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,45,Normal,35,Normal,70,Lots,Organised,65,Medium,70,Double,70,Wide,Cover
11074,108893,111989,AC Arles-Avignon,ARL,60,111989,108893,2010-02-22 00:00:00,50,Balanced,,Little,65,Mixed,Organised,30,Safe,35,Normal,30,Little,Organised,30,Deep,50,Press,35,Normal,Cover
15627,9912,159,DSC Arminia Bielefeld,BIE,66,159,9912,2010-02-22 00:00:00,40,Balanced,,Little,65,Mixed,Organised,45,Normal,70,Lots,50,Normal,Organised,45,Medium,40,Press,50,Normal,Cover
3459,9825,1,Arsenal,ARS,71,1,9825,2010-02-22 00:00:00,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
3465,10252,2,Aston Villa,AVL,77,2,10252,2010-02-22 00:00:00,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
20513,8524,39,Atalanta,ATA,83,39,8524,2010-02-22 00:00:00,35,Balanced,,Little,40,Mixed,Organised,35,Normal,30,Little,55,Normal,Organised,30,Deep,30,Contain,55,Normal,Offside Trap
43051,8315,448,Athletic Club de Bilbao,BIL,89,448,8315,2010-02-22 00:00:00,60,Balanced,,Little,45,Mixed,Organised,35,Normal,70,Lots,55,Normal,Organised,30,Deep,70,Double,35,Normal,Cover
43053,9906,240,Atlético Madrid,AMA,95,240,9906,2010-02-22 00:00:00,64,Balanced,,Little,30,Short,Free Form,65,Normal,50,Normal,70,Lots,Free Form,70,High,34,Press,55,Normal,Offside Trap
17465,8406,100409,FC Augsburg,AUG,101,100409,8406,2010-02-22 00:00:00,45,Balanced,,Little,45,Mixed,Organised,35,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover
9537,8583,57,AJ Auxerre,AUX,107,57,8583,2010-02-22 00:00:00,30,Slow,,Little,70,Long,Organised,35,Normal,65,Normal,35,Normal,Organised,30,Deep,55,Press,30,Narrow,Cover
26563,10229,1906,AZ,ALK,113,1906,10229,2010-02-22 00:00:00,55,Balanced,,Little,45,Mixed,Organised,40,Normal,30,Little,60,Normal,Organised,30,Deep,30,Contain,50,Normal,Cover
43042,8634,241,FC Barcelona,BAR,119,241,8634,2010-02-22 00:00:00,42,Balanced,,Little,30,Short,Free Form,65,Normal,40,Normal,70,Lots,Free Form,70,High,30,Contain,70,Wide,Offside Trap
21280,9976,1848,Bari,BAR,125,1848,9976,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,30,Safe,40,Normal,65,Normal,Organised,40,Medium,30,Contain,45,Normal,Offside Trap
49118,9931,896,FC Basel,BAS,131,896,9931,2010-02-22 00:00:00,40,Balanced,,Little,45,Mixed,Organised,50,Normal,65,Normal,50,Normal,Organised,60,Medium,60,Press,60,Normal,Cover
15619,8178,32,Bayer 04 Leverkusen,LEV,137,32,8178,2010-02-22 00:00:00,70,Fast,,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover
15617,9823,21,FC Bayern Munich,BMU,143,21,9823,2010-02-22 00:00:00,65,Balanced,,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover
2,9993,675,Beerschot AC,BAC,149,675,9993,2010-02-22 00:00:00,35,Balanced,,Little,35,Mixed,Organised,45,Normal,40,Normal,50,Normal,Organised,70,High,70,Double,70,Wide,Cover
35284,9807,1889,CF Os Belenenses,BEL,156,1889,9807,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,55,Normal,45,Normal,60,Normal,Organised,30,Deep,30,Contain,30,Narrow,Offside Trap
49116,6493,1714,AC Bellinzona,BEL,159,1714,6493,2010-02-22 00:00:00,40,Balanced,,Little,50,Mixed,Organised,55,Normal,65,Normal,55,Normal,Organised,45,Medium,50,Press,55,Normal,Cover
35294,9772,234,SL Benfica,BEN,161,234,9772,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Free Form,50,Normal,55,Normal,65,Normal,Free Form,30,Deep,30,Contain,30,Narrow,Offside Trap
4218,8658,88,Birmingham City,BIR,167,88,8658,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,70,Double,70,Wide,Cover
3468,8655,3,Blackburn Rovers,BLB,173,3,8655,2010-02-22 00:00:00,55,Balanced,,Little,70,Long,Organised,60,Normal,70,Lots,55,Normal,Organised,45,Medium,70,Double,45,Normal,Cover
4996,8483,1926,Blackpool,BLA,179,1926,8483,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,65,Normal,Organised,70,High,70,Double,70,Wide,Cover
15634,9911,160,VfL Bochum,BOC,186,160,9911,2010-02-22 00:00:00,50,Balanced,,Little,65,Mixed,Organised,55,Normal,45,Normal,50,Normal,Organised,40,Medium,60,Press,40,Normal,Cover
